id	artist	album	genre	year	discs	speed	quality	cost	size	new	where_from
175	Electric Light Orchestra	Time	Synth-pop, prog rock, progressive rock, new wave, rock opera, post-disco	1981		33					
173	The Specials	Do Nothing / Maggie's Farm	Ska, Two Tone	1980	1	45	Good	5	7	No	Ska Museum
172	High Places	03/07-09/07	Psychedelic Pop	2008		45					
171	Prince	1999	R&B, funk, pop, synth-pop, art pop	1982		33					
170	Whateverglades	Wish You Were	Rock N' Roll	2017	1	45	Like New	10	7	Yes	Soul Bomb
163	The Coasters	Poison Ivy	Rock	1959	1	45	Good	5	7	No	Lake District
162	Vera Lynn	Sincerely Yours	Pop	1945	1	45	Good	5	7	No	
160	Sugar Cane	Val Hevala	Pop	1979	1	45	Good	4	7	No	Lake District
159	The Special AKA	Nelson Mandela	Ska, Two Tone	1984	1	45	Very Good	5	7	No	Ska Museum
158	David Bowie & Bing Crosby	Peace On Earth / Little Drummer Boy	Rock	1982	1	45	Good	5	7	No	
157	John Lennon & Yoko Ono	Beautiful Boys / Woman	Rock	1980	1	45	Good	5	7	No	
156	John Lennon & Yoko Ono	Just Like Starting Over / Kiss Kiss Kiss	Rock	1980	1	45	Good	5	7	No	
155	10cc	The Things We Do For Love	Soft Rock	1976	1	45	Good	5	7	No	
154	The Undertones	Positive Touch	Punk	1981	1	33	Good	10	12	No	Cambridge
152	Stephen Steinbrink	Anagrams	Folk	2016	1	33	Like New	20	12	Yes	Live Show
151	The Shapes	More Songs for Sensible People	Punk	1998	1	33	Like New	13	12	Yes	Ska Museum
150	Glochids	Originals	Experimental	2013	1	33	Like New	0	12	Yes	James Reomer
149	Rhoda Dakar	Sings The Bodysnatchers	Ska, Two Tone	2014	1	33	Like New	25	12	Yes	Ska Museum
148	The Beatles	Abbey Road	Rock	1969	1	33	Like New	25	12	Yes	Abbey Road Studios
147	Culture Club	Karma Chameleon	New Wave	1983	1	45	Good	5	7	No	Larnca
145	Santana	Abraxas	Rock, Psychedelic Rock	1970	1	33	Good	11	12	No	Revolver Records
144	Various	Santeria-Cubana	World, Cuban	1968	1	33	Good	2	12	No	Ghost of Eastside
143	Paul Simon	Greatest Hits, Etc.	Pop, Folk, World	1977	1	33	Bad	6	12	No	
142	Paul Simon	Graceland	Pop, Folk, World	1986	1	33	Very Good	9	12	No	
141	Sister Rosetta Tharpe	Sister Rosetta Tharpe	Rock N' Roll, Gospel, R&B	1959	1	33	Good	11	12	No	Bop Street Records
140	Sly and the Family Stone	Fresh	Funk	1973	1	33	Good	12	12	No	Antique store, Bisbe
138	Squeeze	Singles	New Wave, Punk	1982	1	33	Good	12	12	No	
137	Supertramp	Breakfast in America	Rock, Prog Rock	1979	1	33	Like New	0	12	No	David & Elaine
136	The Thermals	Now We Can See	Indie Rock, Punk	2009	1	33	Like New	0	12	Yes	Liz
135	Tilbury	Exorcise	Indie, Rock	2012	1	33	Like New	17	12	Yes	Reykjavik
134	Tilbury	Northern Comfort	Indie, Rock	2013	1	33	Like New	23	12	Yes	Reykjavik
133	The Undertones	Hypnotised	Punk, New Wave	1980	1	33	Very Good	0	12	No	David & Elaine
132	Nirvana	Live	Grunge, Rock	1990	1	33	Very Good	17	12	No	Ghost of Eastside
131	Les Paul & Mary Ford	The World is Still Waiting for the Sunrise	Jazz, Country	1974	1	33	Very Good	7	12	No	Bop Street Records
130	Gilbert & Sullivan	The Pirates of Penzance	Musical	1981	1	33	Very Good	15	12	No	Revolver Records
129	Prince and the Revolution	Around the World in a Day	Rock, Pop, R&B	1985	1	33	Good	4	12	No	Zia
128	Queen	A Day at the Races	Hard Rock, Symphonic Rock, Pop, Glam Rock	1976	1	33	Good	7	12	No	Zia
127	Queen	A Night at the Opera	Progressive Rock, Pop, Heavy Metal, Hard Rock, Avant Pop	1975	1	33	Very Good	0	12	No	Liz
126	Django Reinhardt	Django Reinhard & Stephane Grappelly with the Quintet of the Hot Club of France	Jazz, Gypsy Jazz	1945	1	33	Bad	6	12	No	Revolver records
125	Elis Regina	Elis Regina in London	Jazz, Brazilian, World	1969	1	33	Like New	18	12	Yes	Amazon
124	Richard O'Brien	The Rocky Horror Picture Show	Musical, Glam Rock, Rock, Soundtrack	1975	1	33	Very Good	10	12	No	Revolver Records
123	The Rolling Stones	December's Children	Rock	1965	1	33	Bad	6	12	No	
122	The Rolling Stones	Let it Bleed	Rock	1969	1	33	Bad	8	12	No	Bookmans
121	The Rolling Stones	Exile on Main St	Rock	1972	1	33	Very Good	11	12	No	Antique shop, Kansas
120	The Rolling Stones	Some Girls	Rock	1978	1	33	Very Good	12	12	No	Ghost of Eastside
119	The Rolling Stones	Emotional Rescue	Rock	1980	1	33	Good	10	12	No	
118	Golden Dawn Arkestra	Golden Dawn Arkestra	Jam, Funk, World, Fusion	2014	1	33	Like New	23	12	Yes	Live Show
117	Grateful Dead	Skeletons from the Closet	Rock, Folk, Psychedelic	1974	1	33	Good	6	12	No	Zia
116	Herbie Hancock	Head Hunters	Jazz, Funk, Fusion	1973	1	33	Good	4	12	No	Zia
115	Michael Jackson	Off the Wall	Pop	1979	1	33	Good	0	12	No	David & Elaine
114	The Jam	All Mod Cons	Punk, Mod, New Wave	1978	1	33	Good	0	12	No	David & Elaine
113	Billy Joel	Glass Houses	Rock, Pop, Piano Rock	1980	1	33	Very Good	0	12	No	Richard Miller
112	Led Zeppelin	III	Rock	1970	1	33	Good	10	12	No	Bookmans
111	John Lennon	Rock 'N' Roll	Rock N' Roll	1975	1	33	Bad	7	12	No	
110	Madness	One Step Beyond	Ska, Two-Tone	1979	1	33	Very Good	0	12	No	Liz
109	Madness	Absolutely	Ska, Two-Tone	1980	1	33	Very Good	0	12	No	Liz
108	Madness	Keep Moving	Ska, Two Tone	1984	1	33	Good	0	12	No	Liz
107	Madness	The Rise & Fall	Ska, Two Tone	1982	1	33	Very Good	0	12	No	Liz
106	Junior Murvin	Police & Thieves	Reggae	1977	1	33	Like New	13	12	Yes	Waterloo
105	Charles Mingus	Mingus Ah Um	Jazz	1959	1	33	Like New	14	12	Yes	Hoodlums
104	Wolfgang Amadeus Mozart	String Quartets K. 499 & K. 575	Classical	1968	1	33	Bad	0	12	No	Stereo Jacks
103	Claude Debussy	Children's Corner, Clair de Lune, L'isle Joyeuse, ...	Classical	1969	1	33	Bad	0	12	No	Stereo Jacks
101	Dire Straits	Brothers in Arms	Rock	1985	1	33	Good	10	12	No	Ghost of Eastside
100	Bob Dylan	The Freewheelin'	Folk	1963	1	33	Good	9	12	No	Stinkweeds
99	Bob Dylan	Bringing it All Back Home	Folk	1965	1	33	Bad	6	12	No	
98	Electric Light Orchestra	ELO's Greatest Hits	Rock, Art Rock	1979	1	33	Good	5	12	No	
97	Duke Ellington	Ellington at Newport	Jazz	1956	1	33	Very Good	11	12	No	Bop Street Records
96	Johnny Cash	Johnny Cash at San Quentin	Country	1969	1	33	Very Bad	2	12	No	Zia
95	Johnny Cash	Sings the Ballads of the True West	Country	1965	2	33	Bad	0	12	No	Richard
94	The Cars	Greatest Hits	Rock, Power Pop	1985	1	33	Good	6	12	No	
93	Ray Charles	The Genius of Ray Charles	R&B	1959	1	33	Very Good	10	12	No	Eastside
92	Various	The Best of Chess Rock N' Roll	Rock N' Roll	1987	2	33	Very Good	8	12	No	
91	The Clash	Combat Rock	Punk	1982	1	33	Like New	0	12	No	Liz
90	John Coltrane	A Love Supreme	Jazz	1965	1	33	Like New	24	12	Yes	Amazon
89	Cream	Best of Cream	Rock	1969	1	33	Bad	4	12	No	
88	David Bowie	Hunky Dory	Glam Rock, Art Rock	1971	1	33	Good	9	12	No	
87	David Bowie	Station to Station	Rock, Funk, Krautrock	1976	1	33	Good	10	12	No	
86	David Bowie	Let's Dance	Pop	1983	1	33	Good	9	12	No	Stereo Jacks
85	David Bowie	Black Star	Art Rock, Experimental Rock	2016	1	33	Like New	26	12	Yes	Amazon
84	David Byrne	The Catherine Wheel	Art Rock, World	1981	1	33	Good	6	12	No	Stereo Jacks
83	The Boomtown Rats	The Fine Art of Surfacing	Rock	1979	1	33	Good	9	12	No	Stereo Jacks
39	Belle and Sebastian	Girls in Peacetime Want to Dance	Indie Pop	2014	1	33	Like New	25	12	Yes	Amazon
20	Tune Yards	Whokill	Art Pop, Noise Pop	2011	1	33	Very Good	18	12	Yes	Amazon
19	Tune Yards	Nikki Nack	Art Pop, Worldbeat	2014	1	33	Very Good	22	12	Yes	Amazon
18	The Go-Gos	Beauty and the Beat	New Wave	1981	1	33	Good	7	12	No	
17	Yes	Close to the Edge	Progressive Rock	1972	1	33	Good	4	12	No	Eastside Records
16	Fun Boy Three	Waiting	New Wave	1983	1	33	Good	4	12	No	
15	Blondie	Parallel Lines	New Wave	1978	1	33	Very Good	7	12	No	
13	David Bowie	The Rise and Fall of Ziggy Stardust and the Spiders from Mars	Glam Rock	1972	1	33	Good	15	12	No	Eastside Records
12	The Clash	London Calling	Punk	1979	2	33	Very Good	22	12	Yes	
11	Amy Winehouse	Back to Black	Soul, R&B, Neo Soul	2006	1	33	Very Good	0	12	Yes	Amazon
10	Various	The Darjleeing Limited	Soundtrack, Indian	2007	1	33	Very Good	23	12	Yes	Amazon
9	Bon Iver	Bon Iver	Folk	2011	1	33	Very Good	20	12	Yes	Comerica Theatre
8	Johnny Flynn	Been Listening	Folk	2010	2	33	Very Good	25	12	Yes	Hard Rock Cafe PHX
7	B-52s	Wild Planet	New Wave	1980	1	33	Good	6	12	No	
6	Roy Acuff	Great Speckle Bird	Country	1936	1	33	Good	3	12	No	Stereo Jacks
5	Adam Ant	Friend or Foe	New Wave	1982	1	33	Good	3	12	No	
4	Johnny Greenwood	The Master	Soundtrack	2013	1	33	Very Good	27	12	Yes	Amazon
3	Joanna Newsom	Divers	Folk	2015	2	33	Very Good	32	12	Yes	UK
